tag,label,n_total,n_present,n_missing,succ,osucc,SR,SR_lo,SR_hi,SR_cp_lo,SR_cp_hi,OS,OS_lo,OS_hi,SPL,NE_mean,NE_median,NE_n,ONE_mean,ONE_n,path_mean,steps_mean,steps_median
stretchA,stretch (arm A),300,300,0,45,87,15.0,11.403246871185315,19.4817611145329,11.15625224301255,19.551644068402698,29.0,24.156454610318367,34.374550181112554,8.756621293828665,7.2166450825211585,6.861186531438632,297,5.427022225172803,297,23.08964339346619,4435.0633333333335,5816.5
stretchB,"stretch (arm B, same-driver replicate)",300,300,0,48,95,16.0,12.28535455840995,20.574367484859174,12.038914792910116,20.647880175947257,31.666666666666668,26.662835068573614,37.1340738763264,9.90482118026519,7.058824128860593,6.590375629237368,296,5.305919116241765,296,22.72913869160501,4292.863333333334,5467.5
crop,crop,300,300,0,50,72,16.666666666666668,12.87653312036807,21.299664961268324,12.63056918886673,21.375567879991983,24.0,19.515315695222746,29.14211880845364,10.542926537621007,7.496123384686401,7.046698006444428,300,6.167334391115332,300,21.154139237765868,4634.75,6001.0
pad,pad,300,300,0,40,87,13.333333333333334,9.946641683411197,17.64717620638884,9.699221494432114,17.710876256786808,29.0,24.156454610318367,34.374550181112554,9.10993820892521,7.225789187056672,6.850538077469235,300,5.668057709476825,300,20.95348301542424,4337.55,5489.0
h060,camera 0.60 m,200,200,0,23,55,11.5,7.786373232561955,16.664716898487573,7.431337369229707,16.754694448225397,27.5,21.779700329307357,34.06833935766965,6.96909153853273,7.759014763526268,7.333559250473002,200,5.653008964292706,200,23.30243237293002,4546.345,6001.0
h078,camera 0.78 m (native),200,200,0,25,56,12.5,8.611974475712644,17.801425002582345,8.25523418288169,17.897375007879948,28.0,22.236889773949027,34.592304586650705,7.358063379331926,7.695113400812864,6.937224052791137,199,5.511762620979937,199,23.861920533666574,4497.22,5964.0
h095,camera 0.95 m (virtual),200,200,0,37,62,18.5,13.730192800616042,24.45706276115175,13.372866017976168,24.586346244867837,31.0,24.998944836078092,37.71717756625804,11.146823634631035,6.9456532203915184,6.429421073229136,200,5.428255388636062,200,21.075592370087342,4149.785,5000.0
h110,camera 1.10 m (virtual),200,200,0,26,44,13.0,9.02820227966932,18.36635187224841,8.670835276857527,18.465233052341258,22.0,16.81653835883326,28.238799918293665,6.963261108822071,7.581999509356987,7.2493556921643645,200,5.920723049209626,200,22.013346447255316,4313.545,5447.0
h130,camera 1.30 m (virtual),200,200,0,30,49,15.0,10.713593562241995,20.60557928416666,10.354952352186263,20.71587036685507,24.5,19.05686808903718,30.904243556203415,9.335370824297735,7.709252647170136,6.589291432803189,199,5.636722199989524,199,22.80001499652928,4302.095,5319.5
h150,camera 1.50 m (virtual),200,200,0,29,51,14.5,10.289350642004402,20.048667530781522,9.930862255520754,20.156149617317972,25.5,19.96049517203135,31.962925820454718,7.48092176905949,7.490817352333286,7.3227125746636546,200,5.857893937770698,200,22.97032726768356,4529.685,5841.5
full_14498[pinned300],"baseline, driver 580.159.03",300,300,0,53,95,17.666666666666668,13.767670929949633,22.383241209237674,13.522561708140547,22.462688674139336,31.666666666666668,26.662835068573614,37.1340738763264,10.194983962758583,7.218347074821502,6.705285578774408,300,5.321921122789632,300,22.73457456028765,nan,nan
full_14498[global],"baseline, driver 580.159.03",1077,1077,0,197,326,18.291550603528318,16.096732470451585,20.71176109480995,16.025384600546964,20.73240207589908,30.269266480965644,27.599569516317118,33.07921491301839,10.92519860022722,7.591223105885197,7.276493560611198,1077,5.469483529223684,1077,22.118338451609873,nan,nan
