family,contrast,metric,a,b,a_pct,b_pct,diff_pp,ci_lo_pp,ci_hi_pp,z,p_z,p_fisher,p_holm,note
noise_floor,stretchB vs stretchA (same-driver replicate),SR,stretchB,stretchA,16.0,15.0,1.0000000000000009,-4.791021974113007,6.79102197411301,0.33841641928004634,0.7350494025125196,0.8216134480106222,0.8216134480106222,"THE within-sweep noise floor: identical settings, identical driver."
noise_floor,stretchB vs stretchA (same-driver replicate),OS,stretchB,stretchA,31.666666666666668,29.0,2.666666666666667,-4.686802757361113,10.020136090694447,0.7104635103193139,0.4774167511976952,0.5342300420550635,0.5342300420550635,"THE within-sweep noise floor: identical settings, identical driver."
transform,crop vs stretchA,SR,crop,stretchA,16.666666666666668,15.0,1.6666666666666663,-4.173772663147286,7.507105996480619,0.5591626286080745,0.576050735543072,0.6548022514364469,1.0,
transform,crop vs stretchA,OS,crop,stretchA,24.0,29.0,-4.999999999999999,-12.051331931097671,2.0513319310976734,-1.3875512319389482,0.16527374039975973,0.1952156060957817,0.7808624243831268,
transform,pad vs stretchA,SR,pad,stretchA,13.333333333333334,15.0,-1.6666666666666663,-7.245459570176649,3.9121262368433154,-0.5853728182784128,0.5582970615892926,0.6397661213768127,1.0,
transform,pad vs stretchA,OS,pad,stretchA,29.0,29.0,0.0,-7.261571782017628,7.261571782017628,0.0,1.0,1.0,1.0,
transform,crop vs stretchB,SR,crop,stretchB,16.666666666666668,16.0,0.6666666666666654,-5.248928577600584,6.582261910933915,0.22087203087003093,0.8251920757340663,0.9121164504604485,1.0,
transform,crop vs stretchB,OS,crop,stretchB,24.0,31.666666666666668,-7.666666666666666,-14.812600463395711,-0.5207328699376207,-2.095083214955217,0.03616359576475214,0.04489286533334924,0.2244643266667462,
transform,pad vs stretchB,SR,pad,stretchB,13.333333333333334,16.0,-2.666666666666667,-8.324092387700304,2.990759054366971,-0.9231861823449957,0.3559101883710094,0.4193312796279976,1.0,
transform,pad vs stretchB,OS,pad,stretchB,29.0,31.666666666666668,-2.666666666666667,-10.020136090694447,4.686802757361113,-0.7104635103193139,0.4774167511976952,0.5342300420550635,1.0,
transform,crop vs pad,SR,crop,pad,16.666666666666668,13.333333333333334,3.3333333333333326,-2.374666478298665,9.04133314496533,1.1433239009500586,0.25290413508874243,0.3034706267980201,1.0,
transform,crop vs pad,OS,crop,pad,24.0,29.0,-4.999999999999999,-12.051331931097671,2.0513319310976734,-1.3875512319389482,0.16527374039975973,0.1952156060957817,0.7808624243831268,
height,h060 vs h078 (native),SR,h060,h078,11.5,12.5,-0.9999999999999996,-7.368375106687592,5.368375106687593,-0.3077287274483317,0.758288758433211,0.8778821059370625,1.0,
height,h060 vs h078 (native),OS,h060,h078,27.5,28.0,-0.5000000000000004,-9.275901522430123,8.275901522430122,-0.11166564655911763,0.9110885189993789,1.0,1.0,
