list_order,episode_id,record_idx,scene,goal_radius
0,1,0,zsNo4HB9uLZ,3.0
1,2,1,zsNo4HB9uLZ,3.0
2,3,2,zsNo4HB9uLZ,3.0
3,7,6,x8F5xyUWy9e,3.0
4,8,7,x8F5xyUWy9e,3.0
5,9,8,x8F5xyUWy9e,3.0
6,10,9,2azQ1b91cZZ,3.0
7,11,10,2azQ1b91cZZ,3.0
8,12,11,2azQ1b91cZZ,3.0
9,13,12,zsNo4HB9uLZ,3.0
10,14,13,zsNo4HB9uLZ,3.0
11,15,14,zsNo4HB9uLZ,3.0
12,19,18,QUCTc6BB5sX,3.0
13,20,19,QUCTc6BB5sX,3.0
14,21,20,QUCTc6BB5sX,3.0
15,25,24,zsNo4HB9uLZ,3.0
16,26,25,zsNo4HB9uLZ,3.0
17,27,26,zsNo4HB9uLZ,3.0
18,31,30,x8F5xyUWy9e,3.0
19,32,31,x8F5xyUWy9e,3.0
20,33,32,x8F5xyUWy9e,3.0
21,40,39,zsNo4HB9uLZ,3.0
22,41,40,zsNo4HB9uLZ,3.0
23,42,41,zsNo4HB9uLZ,3.0
24,43,42,2azQ1b91cZZ,3.0
25,44,43,2azQ1b91cZZ,3.0
26,45,44,2azQ1b91cZZ,3.0
27,49,48,QUCTc6BB5sX,3.0
28,50,49,QUCTc6BB5sX,3.0
29,51,50,QUCTc6BB5sX,3.0
30,52,51,zsNo4HB9uLZ,3.0
31,53,52,zsNo4HB9uLZ,3.0
32,54,53,zsNo4HB9uLZ,3.0
33,55,54,zsNo4HB9uLZ,3.0
34,56,55,zsNo4HB9uLZ,3.0
35,57,56,zsNo4HB9uLZ,3.0
36,61,60,2azQ1b91cZZ,3.0
37,62,61,2azQ1b91cZZ,3.0
38,63,62,2azQ1b91cZZ,3.0
39,67,66,QUCTc6BB5sX,3.0
40,68,67,QUCTc6BB5sX,3.0
41,69,68,QUCTc6BB5sX,3.0
42,70,69,2azQ1b91cZZ,3.0
43,71,70,2azQ1b91cZZ,3.0
44,72,71,2azQ1b91cZZ,3.0
45,73,72,zsNo4HB9uLZ,3.0
46,74,73,zsNo4HB9uLZ,3.0
47,75,74,zsNo4HB9uLZ,3.0
48,76,75,2azQ1b91cZZ,3.0
49,77,76,2azQ1b91cZZ,3.0
50,78,77,2azQ1b91cZZ,3.0
51,79,78,2azQ1b91cZZ,3.0
52,80,79,2azQ1b91cZZ,3.0
53,81,80,2azQ1b91cZZ,3.0
54,82,81,QUCTc6BB5sX,3.0
55,83,82,QUCTc6BB5sX,3.0
56,84,83,QUCTc6BB5sX,3.0
57,85,84,zsNo4HB9uLZ,3.0
58,86,85,zsNo4HB9uLZ,3.0
59,87,86,zsNo4HB9uLZ,3.0
60,88,87,2azQ1b91cZZ,3.0
61,89,88,2azQ1b91cZZ,3.0
62,90,89,2azQ1b91cZZ,3.0
63,91,90,TbHJrupSAjP,3.0
64,92,91,TbHJrupSAjP,3.0
65,93,92,TbHJrupSAjP,3.0
66,94,93,QUCTc6BB5sX,3.0
67,95,94,QUCTc6BB5sX,3.0
68,96,95,QUCTc6BB5sX,3.0
69,97,96,QUCTc6BB5sX,3.0
70,98,97,QUCTc6BB5sX,3.0
71,99,98,QUCTc6BB5sX,3.0
72,103,102,QUCTc6BB5sX,3.0
73,104,103,QUCTc6BB5sX,3.0
74,105,104,QUCTc6BB5sX,3.0
75,112,111,X7HyMhZNoso,3.0
76,113,112,X7HyMhZNoso,3.0
77,114,113,X7HyMhZNoso,3.0
78,115,114,2azQ1b91cZZ,3.0
79,116,115,2azQ1b91cZZ,3.0
80,117,116,2azQ1b91cZZ,3.0
81,121,120,2azQ1b91cZZ,3.0
82,122,121,2azQ1b91cZZ,3.0
83,123,122,2azQ1b91cZZ,3.0
84,124,123,zsNo4HB9uLZ,3.0
85,125,124,zsNo4HB9uLZ,3.0
86,126,125,zsNo4HB9uLZ,3.0
87,127,126,EU6Fwq7SyZv,3.0
88,128,127,EU6Fwq7SyZv,3.0
89,129,128,EU6Fwq7SyZv,3.0
90,136,135,zsNo4HB9uLZ,3.0
91,137,136,zsNo4HB9uLZ,3.0
92,138,137,zsNo4HB9uLZ,3.0
93,139,138,2azQ1b91cZZ,3.0
94,140,139,2azQ1b91cZZ,3.0
95,141,140,2azQ1b91cZZ,3.0
96,142,141,QUCTc6BB5sX,3.0
97,143,142,QUCTc6BB5sX,3.0
98,144,143,QUCTc6BB5sX,3.0
99,145,144,zsNo4HB9uLZ,3.0
100,146,145,zsNo4HB9uLZ,3.0
101,147,146,zsNo4HB9uLZ,3.0
102,148,147,QUCTc6BB5sX,3.0
103,149,148,QUCTc6BB5sX,3.0
104,150,149,QUCTc6BB5sX,3.0
105,151,150,QUCTc6BB5sX,3.0
106,152,151,QUCTc6BB5sX,3.0
107,153,152,QUCTc6BB5sX,3.0
108,154,153,zsNo4HB9uLZ,3.0
109,155,154,zsNo4HB9uLZ,3.0
110,156,155,zsNo4HB9uLZ,3.0
111,157,156,2azQ1b91cZZ,3.0
112,158,157,2azQ1b91cZZ,3.0
113,159,158,2azQ1b91cZZ,3.0
114,160,159,2azQ1b91cZZ,3.0
115,161,160,2azQ1b91cZZ,3.0
116,162,161,2azQ1b91cZZ,3.0
117,163,162,zsNo4HB9uLZ,3.0
118,164,163,zsNo4HB9uLZ,3.0
119,165,164,zsNo4HB9uLZ,3.0
120,166,165,2azQ1b91cZZ,3.0
121,167,166,2azQ1b91cZZ,3.0
122,168,167,2azQ1b91cZZ,3.0
